In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
Give 2 examples of volatile storage:	1. Main memory. 2. Cache memory.		
Give 2 examples of non-volatile storage:	1. Disk drives. 2. Magnetic tape drives.		
Which is generally more reliable: disks or magnetic tapes?	Magnetic tapes		
Most database systems use ________ as a means of log-based recovery:	write-ahead logging		
Briefly describe the concept of write-ahead logging:	With write-ahead logging, the system maintains a log that records every write operation that modifies data: 1. Before a transaction T starts its execution, the record <T starts> is logged. 2. Any write operation that takes place during T will be preceeded by a corresponding write record being logged. 3. When T commits, a <T commits> record is logged. Using the log, the system can recovery from any failure that does not result in the loss of information in nonvolatile storage (i.e., the disk).		
List 3 events that will cause a new record to be logged when write-ahead logging is used:	1. When a transaction begins: <T starts> 2. When a transaction performs a write: <T writes (…)> 3. When a transaction is committed: <T commits>		
When write-ahead logging is used by a system, what 4 details must be captured in each write record that we log?	1. A unique name for the transaction. 2. The name of the data item (record) written to. 3. The old value. 4. The new value.		
Explain the trade-offs assumed when implementing write-ahead logging:	1. There is a performance cost, as each logic write requires 2 actual writes. 2. There is a storage cost to logging events and information on disk.		
List and describe the 2 operations used by the system to restore system state (from the write-ahead log) following a failure:	undo(T_i): Restores the value of all data updated by transaction T_i to the old values. redo(T_i): Sets the value of all dataa updated by transaction T_i to the new values.		
What requirement must we place on the implementations of the undo(T_i) and redo(T_i) operations?	Both operations must be idempotent.		
What do we mean when we say that an operation is idempotent?	We mean that, following a single invocation of the operation, an arbitrary number of succeeding operations must yield a identical result.		
Following a failure, when must a transaction T_i be undone (via undo(T_i))?	If the write-ahead log contains the <T_i starts> record but does not contain the <T_i commits> record.		
Following a failure, when must a transaction T_i be redone (via redo(T_i))?	When the log contains the <T_i starts> record as well as the <T_i commits> record.		
To reduce the work needed to restore system state following a failure, write-ahead logging implementations use ________.	checkpoints		
List the 3 steps that occur when a write-ahead logging system performs a checkpoint:	1. Output all log records residing in volatile storage to stable storage. 2. Output all modified data residing in volatile storage to stable storage. 3. Output a log record <checkpoint> to stable storage.		
Following failure, the write-ahead log system will start the data-restoration process by ________.	Searching the log for the most recent <checkpoint> record and performing any restoration work associated with the set of transactions that followed in the log.		The remainder of the log (before the checkpoint) can be ignored.
Give a definition for the serializability property (of concurrent transactions):	When multiple (atomic) transactions may be executed concurrently, the execution of these transactions must be ordered in such a way that the final result is equivalent—regardless of the ordering.		
How could we use semaphores to guarantee serializability over a set of transactions?	"We could have all transactions depend on a common semaphore ""mutex"": 1. Before beginning a transaction, a thread must first acquire the mutex. 2. After committing or aborting the transaction, the thread must release the mutex."	wait(mutex); /* perform read or write transaction */ signal(mutex);	
A ________ is another name for an execution sequence.	A schedule.		
A schedule in which each transaction is executed atomically is called a ________.	A serial schedule.		A serial schedule consists of a sequence of instructions—from various transactions—wherein the instructions belonging to a particular transaction appear together.
How many unique serial schedules can be generated for a set of n transactions?	"There exists n! (""n-factorial"") possible valid serial schedules."		
When can we say that two transaction operations conflict?	When they access the same data item and at least one of the operations is a write.		"If two different transactions [$]O_i[/$] and [$]O_j[/$] of some schedule S do not conflict, then we can swap the order of [$]O_i[/$] and [$]O_j[/$] to produce a new, equivalent schedule S'."
When can we say that a schedule S is conflict-serializable?	"When it can be transformed into a different (equivalent) serial schedule S', through a series of swaps of non-conflicting operations."		
List 2 common types of protocols that ensure serializability for a set of transactions:	1. Locking protocols (e.g., two-phase locking). 2. Timestamp-ordering protocols.		
What 2 phases are used by a two-phase locking protocol for ordering transactions?	1. A growing phase. 2. A shrinking phase.		
What locking rules are enforced for each transaction during the growing and shrinking phases?	1. During the growing phase, transactions may acquire locks but not release any. 2. During the shrinking phase, transactions may release locks but not acquire any.		
Give 3 examples of symmetric APIs (pairs) for requesting and releasing resources:	1. We can request() and release() devices. 2. We can open() and close() files. 3. We can allocate() and free() memory.		
The kernel uses a ________ to track which resources are allocated to each process.	A system table.		
When is a set of system processes in a deadlock state?	When each process in the set is currently waiting for an event that can only be caused by another process in the set.		
List and describe all conditions that are necessary for a deadlock:	1. Mutual exclusion: We assume that each resource may only be used by one process at a time. 2. Hold-and-wait: A process must be holding one resource while simultaneously waiting for another resource that is currently held by another process. 3. No preemption: Resources may not be preempted by the kernel; they can only be released voluntarily by the process that acquired it. 4. Circular wait: A set [$]{ P_0, P_1, \dots, P_n }[/$] must exist such that [$]P_0[/$] is waiting for a resource held by [$]P_1[/$], and so on, and [$]P_n[/$] is waiting for a resource from [$]P_0[/$].		
List the 4 conditions necessary for a system deadlock:	1. Mutual exclusion. 2. Hold and wait. 3. No preemption. 4. Circular wait.		
The ________ condition for deadlock implies the ________ condition.	The circular wait condition implies the hold-and-wait condition.		
What kind of graph can be used to represent a system deadlock?	A directed graph.		
What is a system resource-allocation graph?	An application of directed graphs which represents the processes active in a system and the set of resource types available in the system.		A system resource-allocation graphs can be used to determine whether or not a system is in deadlock.
What is represented by the vertices in a system resource-allocation graph?	The set of vertices [$]V[/$] is composed of 2 disjoint sets: 1. [$]P[/$], representing all active processes in the system. 2. [$]R[/$], representing all resource types in the system.		
How do we represent a pending resource request in a system resource-allocation graph?	A directed edge from a process vertex [$]P_i[/$] to a resource type vertex [$]R_j[/$].		
How do we represent an allocation in a system resource-allocation graph?	A directed edge from a resource type vertex [$]R_i[/$] to a process vertex [$]P_j[/$].		
A directed edge representing a resource request (in a system resource-allocation graph) is known as a ________.	A request edge.		
A directed edge representing a resource allocation (in a system resource-allocation graph) is known as a ________.	An assignment edge.		
How can we use a system resource-allocation graph to detect a deadlock?	1. If the system has one instance of each resource type, then a cycle in the graph implies that a deadlock has occurred between the processes involved in the cycle. 2. If the system provides multiple instances of each resource type, then a cycle may mean that a deadlock has occurred between those processes—but not necessarily.		
List 3 general approaches taken by operating systems to handle deadlocks:	1. Deadlock prevention. 2. Deadlock avoidance. 3. Do nothing (ignore deadlocks).		
Distinguish the deadlock prevention strategy from the deadlock avoidance strategy:	Deadlock prevention imposes restrictions on how request for resources can be made at runtime. Deadlock avoidance uses presupposed information to schedule processes in such a way that they do not lead to deadlocks.		
Describe 2 potential protocols that an operating system could impose on processes in order to avoid the hold-and-wait condition (for deadlocks):	1. Have processes request (and be allocated) all of the resources they need before starting execution (i.e., before making any additional system calls). 2. Allow processes to request new resources only when they hold none.		Both protocols may lead to low resource utilization and/or starvation.
How could we ensure that the circular-wait condition (for deadlocks) is avoided?	Impose a total ordering of all resource types [$]R = { R_1, R_2, \dots, R_n }[/$] by defining a one-to-one function F : [$]F: R \rightarrow N [/$], where N is the set of natural numbers (integers).	F(TAPE_DRIVE) = 1 F(DISK_DRIVE) = 5 F(PRINTER) = 12	Note that this ordering can extend to all synchronization objects in the system, including, for example, mutexes.
Assuming we have defined a total order F over all resource types [$]R = { R_1, R_2, \dots, R_n }[/$] in a system, what 2 rules could we impose that would avoid the circular-wait requirement (for deadlocks)?	1. If a process is holding a resource of type [$]R_i[/$], then it may only request a resource of type [$]R_j[/$] only if [$]F(R_j) \geq F(R_i)[/$]. 2. If a process requests a resource of type [$]R_j[/$], it must first release any resource [$]R_i[/$] such that [$]F(R_i) \geq F(R_j)[/$].		
What role is played by the witness service (in BSD versions of Unix)?	witness serves as a lock-order verifier: it protects critical sections of different processes by dynamically maintaining the relationship of lock orders in the system.		witness can generate warnings if a programmer attempts to acquire locks in an unsafe order.
A deadlock-avoidance algorithm would need what a priori information?	It would need to know the maximum number of resources (of each type) that could be requested by each process in the system.		With this knowledge, together with the current state of the system (that is, the number of available and allocated resources, by type), an algorithm could determine whether or not a new allocation could lead to a deadlock.
What 2 pieces of information comprise the resource-allocation state (used by deadlock-avoidance algorithms)?	1. The maximum allocation demands (by resource type) of each process. 2. The current number of allocated and available resources (by resource type).		
"When is a system's resource-allocation state considered safe?"	The system is in a safe state if there exists a safe sequence: a sequence of processes [$]<P_1, P_2, \dots, P_n>[/$] where, for each process [$]P_i[/$], the resource requests that [$]P_i[/$] can still make (up to its maximum) can be satisfied by the set of currently available resources plus the resources held by all [$]P_j[/$] (where [$]j \lT i[/$]).		
What is a safe sequence (resource allocation):	A sequence of processes [$]<P_1, P_2, \dots, P_n>[/$] where, for each process [$]P_i[/$], the resource requests that [$]P_i[/$] can still make—up to its maximum—can be satisfied by the set of currently available resources plus the resources held by all [$]P_j[/$] (where [$]j \lT i[/$]).		[$]P_i[/$] can wait until all [$]P_j[/$] have finished (and released their resources).
A resource-allocation state can be either ________ or ________.	Safe or unsafe.		
Distinguish an unsafe resource-allocation state from a deadlock:	An unsafe state may lead to a deadlock, but it does not necessarily mean that a deadlock has occurred.		In an unsafe state, the system cannot prevent processes from requesting resources such that a deadlock occurs.
Distinguish the types of edges that may exist in a resource-allocation graph:	1. A request edge ([$]P \rightarrow R[/$]). 2. An assignment edge ([$]R \rightarrow P[/$]). 3. A claim edge ([$]P \rightarrow R[/$]).		
Deadlock-prevention algorithms make use of ________ algorithms.	Cycle-detection algorithms.		
Asymptotically, how do we categorize the performance of cycle-detection algorithms?	[$]\Omega(n^2)[/$], where n is the number of processes in the resource-allocation graph.		
When is the simple resource-allocation graph algorithm (cycle detection) not sufficient for detecting and preventing deadlock?	When more than one instance of each resource type is offered by the system.		
"Describe one application of the banker's algorithm:"	We can use the algorithm to detect and prevent deadlocks in systems that offer multiple instances of each resource type.		
"Describe each data structure needed to implement the banker's algorithm using a system resource-allocation graph: • n is the number of processes in the system; • m is the number of resource types in the system;"	1. available: An vector of length m indicaitng the number of available resources of each type. 2. max: An [$]n \times m[/$] matrix defining the maximum number of allocations by type that a process may request during its lifecycle. 3. allocation: An [$]n \times m[/$] matrix defining the current allocation of resources by type to each process. 4. need: An [$]n \times m[/$] matrix indicating the current (remaining) need, per resource type, for each process.		
"What abstract data types are required to implement the banker's algorithm?"	Vectors and matrices.		
"Describe the series of steps taken by the safety algorithm (used by the banker's algorithm) to determine whether or not the system is in a safe state:"	1. Let work and finish be vectors of length m and n, respectively. a. Initialize work = available. b. Initialize [$]finish_i[/$] = false for [$]i = 0, 1, \dots, n-1[/$]. 2. Find an i such that [$]finish_i[/$] == false and [$]need_i \leq work[/$]. If no such i exists, skip to step 4. 3. Loop: a. Add [$]allocation_i[/$] to work. b. Set [$]finish_i[/$] to true. c. Go to step 2. 4. If [$]finish_i[/$] == true for all i, then the system is in a safe state.		
Give the worst-case runtime behavior of the safety algorithm:	[$]\Omega(m \times n^2)[/$]		
"Describe the series of steps taken by the resource-request algorithm (used by the banker's algorithm) to determine whether or not a request is safe:"	When a request for resources is made by process [$]P_i[/$], the following steps are taken: 1. If [$]request_i \leq need_i[/$], go to step 2. Otherwise, raise an error (as the process has exceeded its max claim). 2. If [$]request_i \leq available[/$], go to step 3. Otherwise, [$]P_i[/$] must wait as the resources it needs are not currently available. 3. Simulate the request by running the safety algorithm on an altered representation of the system state: available = available - request_i allocation_i = allocation_i + request_i need_i = need_i - request_i If the resulting state is safe, then the transaction is complete, and no additional work must be done; however, if the resulting state is unsafe, the [$]P_i[/$] must wait for [$]request_i[/$], and the previous allocation state is restored.		
Deadlock-detection algorithms operate on a variant of system resource-allocation graphs known as ________.	A wait-for graph.		
What is a wait-for graph?	A transformation (variant) of the system-allocation graph in which the set of resource nodes R is removed, collapsing the adjacent edges into the appropriate process vertices.		"Note that wait-for graphs can't help us detect deadlocks in systems where multiple instances of each resource type exist."
How can we transform a resource-allocation graph into a wait-for graph?	1. We removed the set of resource nodes R from the graph. 2. We collapse the orphaned edges into the appropriate process vertices: For a pair of edges [$]{ E_{i,x}, E_{x,j} }[/$] where [$]E_{r,i,x}[/$] is a request edge originating from process [$]P_i[/$] and reaching resource [$]R_x[/$] and [$]E_{a,x,j}[/$] is an assignment edge originating from resource [$]R_x[/$] and reaching process [$]P_j[/$]… …we remove R and collapse both edges into one wait edge [$]E_{w,i,j}[/$] such that [$]E_{w,i,j}[/$] originates at [$]P_i[/$] and reaches [$]P_j[/$].		
How can we use a wait-for graph to detect a deadlock?	If the wait-for graph contains a cycle, then there is a deadlock. We can use an [$]\Omega(n^2)[/$] cycle-detection algorithm to check for cycles in the graph.		Operating systems that use wait-for graphs must maintain these graphs and periodically invoke a cycle-detection algorithm to detect deadlock. When a deadlock is detected, the system must be able to recover.
When would it not be appropriate to use a wait-for graph to detect deadlocks?	When the system offers multiple instances of each resource type.		
Describe each data structure needed to implement a deadlock-detection algorithm for a system that may offer multiple instances of each resource type:	1. available: A vector of length m indicating the number of available resources of each type. 2. allocation: An [$]n \times m[/$] matrix storing the number of resources of each type currently allocated to each process. 3. request: An [$]n \times m[/$] matrix describing the currently outstanding resource requests for each process.		
Give a general description of how a deadlock-detection algorithm determines whether or not a request is safe?	The algorithm investigates every possible allocation sequence for the processes that have not yet finished their work.		
Describe the series of steps taken by the deadlock-detection algorithm to detect deadlock within the system:	"When the deadlock-detection algorithm is invoked by the operating system, it follows these steps: 1. Let work and finish be vectors of length m and n, respectively. Initialize [$]work = available[/$]. For each process [$]P_i[/$], initialize [$]finish_i[/$] to either true or false depending on [$]allocation_i[/$]. 2. Find an index i such that [$]finish_i == false[/$] (process has not finished) and [$]request_i \leq work[/$]. If no index exists, go to Step 4. 3. ""Reclaim"" the resources* used by [$]P_i[/$], and then go to Step 2. [$]work = work + allocation_i[/$] [$]finish_i = true[/$] 4. If [$]finish_i == false[/$] for any i ([$]0 \leq i \leq n[/$]), then the system has a deadlock (and process [$]P_i[/$] is involved in the deadlock)."		Reclaiming is done optimistically: we assume that process [$]P_i[/$] (which we know is not contributing to a potential deadlock) will not make additional requests—and will finish soon, relinquishing its resources back to the system.
What factors might we consider when deciding how frequently to run a deadlock-detection algorithm?	1. How often is a deadlock likely to occur? 2. How many processes may be affected by a deadlock if one occurs?		
Describe 3 possible protocols for when to run a deadlock-detection algorithm:	1. Whenever a process requests a resource that cannot immediately be granted. 2. Whenever CPU utilization drops below some threshold (e.g., < 40%). 3. According to some timed frequency (e.g., every 500ms).		
Describe 2 alternative recovery protocols that we could follow when we find a deadlock in our system:	1. Terminate all processes involved in the deadlock. 2. Terminate one involved process at a time until the deadlock is resolved.		
"After discovering a deadlock in our system, describe the tradeoffs between terminating all process involved, and terminating one at a time until we've recovered:"	Terminating all processes involves less overhead, but risks greater waste of past computation time. The one-by-one approach may be less wasteful, but it requires more overhead cost: it requires us to re-execute our deadlock-detection algorithm after each termination.		
When a deadlock does occur, what are some criteria we could use when selecting a process to terminate in hopes of recovery:	"1. What is the process's priority? 2. How long has the process been running? 3. How much longer do we expect the process to run? 4. How many (and what types of) resources is the process currently using? 5. How many more resources might the process request? 6. Is the process categorized as interactive or batch?"		
How could we resolve a deadlock without terminating any processes involved?	We could temporarily preempt one or more resources held by a process, giving them to another process–allowing it to finish its work.		"The resource-preemption strategy requires us to implement a protocol for selecting the ""victim"" process to be preempted."
"If we choose to preempt resources from a process (in order to resolve a deadlock), in what manner(s) could we have the ""victim"" process continue its work?"	1. We could record the state of all processes at some interval and roll back the victim process to a previous state, where the preempted resource(s) is not held. 2. We could simply abort and restart the process—in which case all resources held by that process might be released.		
The CPU fetches instructions from memory according to the value of the ________.	The program counter.		
One instruction may require additional ________ to be fetched from memory.	Instruction operands.		
"How many CPU cycles are needed to access values stored in the CPU's registers?"	Normally one cycle.		
The CPU must access main memory through the ________.	The memory bus.		
"We can use a ________ register and a ________ register to describe a region of physical memory representing a process's virtual memory space."	A base register and a limit register.		
What value is stored in the base register associated with a process?	"The smallest (first) legal physical address belonging to the process's virtual address space."		
What value is stored in the limit register associated with a process?	The size of the range of physical addresses, starting at the base.		
"How does a CPU normally handle a process's attempt to access memory outside of its allocated range of memory?"	Normally the CPU issues a trap to the operating system, which treats the attempt as a fatal error and terminates the process.		
When an operating system receives a trap from the CPU due to an invalid memory access attempt (by some process), how does it normally respond?	The operating system treats the trap as a fatal exception, and aborts the process.		
"Setting the processor's base and limit registers is done through ________."	Privileged instructions.		These instructions may only be executed in kernel mode.
The processes on disk waiting to be brought into memory form the ________.	The input queue.		
Describe the types of address translation done by (1) the compiler and (2) the linker/loader in order to produce a relocatable program:	1. The compiler translates symbolic addresses into relocatable addresses; 2. The linker/loader translates relocatable addresses into absolute addresses.		
Distinguish a symbolic address from a relocatable address:	"A symbolic address is represented by variable/procesure names in the program's source code (e.g., count, drawRectangle, etc). A relocatable address is a numeric address that specifies a relative offset from some origin address—usually the base address of a data or code segment."		
When are (absolute) memory addresses determined for a non-relocatable program?	At compile time.		The MS-DOS .COM-format programs were address-bound at compile time.
Memory addresses for relocatable programs can be determined at ________.	load time		In this case, the compiler generates relocatable addresses which are re-mapped to absolute addresses by the loader.
When the CPU wants to read from or write to an address in main memory, it places the address in the ________ of the memory device.	The memory-address register.		
In modern systems, the CPU produces ________ addresses, while the memory unit produces ________ addresses.	Logical addresses, physical addresses		
Runtime mapping of logical (virtual) memory addresses to physical memory addresses is performed by the ________.	The memory management unit (MMU).		
At what distinct times might a program have its physical memory addresses determined?	1. Compile time (non-relocatable). 2. Load time (relocatable between executions). 3. Execution time (relocatable at any time by the operating system).		
User programs deal with ________ memory addresses.	Logical addresses (i.e., virtual addresses).		
Briefly describe the concept of dynamic loading:	"All routines that might be called by a program are stored on disk, in a relocatable load format. A routine is not loaded from disk into memory until it is first called by the program. Loading can be performed by a relocatable linking loader. The loader must update the program's address tables to reflect the change."		
Describe the main advantage of dynamic loading:	An unused routine is never loaded into main memory, thus reducing the overall memory footprint of the program.		This is particularly useful for programs that contain a large amount of code. Routines that are rarely executed—such as handlers for uncommon errors—can remain on disk until they are needed.
Briefly describe dynamic linking:	Dynamic linking allows dynamically linked libraries (DLLs) to be linked to the program at execution time.		This technique allows multiple programs to link to the same instance of a library in main memory, avoiding duplication of code stored in main memory.
What is a stub, and how does it enable dynamic linking?	A stub is included in the image for each reference to a library routine. The stub indicates how to locate the library routine if it is resident in memory (or how to load the routine if it is not resident). The stub then replaces itself with the address of the loaded routine and executes it.		
Why does dynamic linking require support from the operating system?	With dynamic linking, we can load a library into some region of memory and share it with multiple programs. Because the operating system normally contains each process within its own distinct virtual address space, the operating system must provide a mechanism for sharing regions of memory between processes.		
What is the backing store?	A segment of disk space used to store non-active processes (and any associated data) that have been swapped out of main memory.		The backing store normally resides outside of any file-system partitions on disk.
The backing store is also sometimes called the ________.	Swap space.		
Briefly describe the technique of swapping:	Swapping enables us to run more programs than might otherwise be able to fit into main memory. With swapping, to meet memory demands, we take a non-active process and migrate it (in its entirety) to the backing store on disk. Doing so makes room for another process to run (in main memory). When the process must run again, we migrate it back from the backing store into an available section of main memory.		
Describe a situation when it might be unsafe to swap a process with another:	"If the process is inactive but waiting on some I/O to arrive (e.g., opening a file). Normally, when a process initiates an I/O read, the I/O device is given the location of a buffer (in the process's virtual address space) to write to. If we initiate such an operation and then swap the associated process out with a new process in memory, the I/O would eventually complete—and attempt to write data to the new process's address space."		
Give an example of an operating system that supports swapping:	Windows 3.1 (ca. 1992)		
The operating system image is normally loaded into memory adjacent to what?	Adjacent to the interrupt vector.		The operating system may wish to manage the interrupt vector (table) directly.
Is the operating system normally loaded into low memory or high memory?	Low memory (where the interrupt vector is often stored).		
"When are the processor's base and limit registers reset?"	"When the operating system dispatcher executes a context-switch. New values are set according to fields stored in the new process's task control block (PCB)."		
Operating system code that is loaded on-demand is known as ________.	Transient operating system code.		
The dynamic storage-allocation problem is concerned with ________.	How to satisfy a memory request of a given size from a list of available blocks.		
Solutions to the dynamic storage-allocation problem can fit into what 3 categories?	1. First fit: Allocate the first block that meets the size requirement. 2. Best fit: Allocate the smallest block that meets the size requirement. 3. Worst fit: Allocate the largest block that meets the size requirement.		
Considering latency and storage utilization, which allocation algorithms—first fit, best fit, and worst fit—are optimal?	First fit and best fit.		
Distinguish external fragmentation from internal fragmentation:	"1. External fragmentation is the result of many small ""holes"" lying outside of any process's allocated memory space. 2. Internal fragmentation is the result of over-allocation of (unused) memory within a process's allocated memory space."		
"The presence of many small ""holes"" of unused memory between processes' memory spaces is known as ________."	External fragmentation.		
"The existence of unused memory at the end of a process's allocated memory address space is known as ________."	Internal fragmentation.		
Explain the fifty-percent rule of dynamic memory allocation:	Given N allocated blocks of memory, another [$]\frac{N}{2}[/$] blocks are expected to be lost to memory fragmentation. This rule generally holds true for first-fit allocation solutions.		
Describe compaction and how it can alleviate external fragmentation:	Compaction involves shuffling blocks of allocated and available memory in order to merge the available blocks. Doing so reduces the number of small, available blocks that are unlikely to be allocated.		
When would it not be possible to perform compaction on fragmented memory?	If the region of memory contains processes that are non-relocatable.		
Paging divides physical memory into equally-sized blocks, called ________.	Frames		
What is a frame of memory?	A block of physical memory defined by a memory-paging system. Frames normally share the same size.		
What is a page of memory?	A logical block of memory, defined by a process or object in the system (such as a file or buffer). Pages of memory are mapped into frames (which share their size).		
Give a basic description of memory paging:	Paging involves dividing physical memory into equally-sized frames, and breaking logical memory into block of the same size called pages. When a process is scheduled to run, its associated pages are copied from the backing store into frames of physical memory.		
What information must a memory-paging system track?	1. Which frames are currently free and which are occupied. 2. Which page occupies which (occupied) physical frame. 3. Which process owns which logical page. 4. The number of total frames present in the system.		
Paging divides logical (physical) addresses into what 2 logical components?	1. A page number. 2. A page offset.		
"Is a system's page size determined by hardware or software?"	It is determined by the hardware.		
What is a page table?	A page table is a key-value store that maps (logical) pages of memory to (physical) frames of memory. The page number component of a logical address is used to index into a page table to determine a physical base address; the base address is used together with the page offset to determine an absolute physical address.		
Paging alleviates what type of memory fragmentation?	External fragmentation.		
How is paging a solution to external memory fragmentation?	All physical memory is allocated in some fixed multiple of frames. Any unused frame may be allocated to a new process.		
Explain why paging does not completely alleviate internal fragmentation:	"All memory is allocated in some number of frames. A process's memory usage normally would not coincide with a page or frame boundary, so a portion of the last frame allocated to the process may not be used in its entirety."		
When paging is used to allocate memory, what is the expected degree of internal fragmentation for each process?	We expect each process to waste one half-page of memory.		
Explain the tradeoffs between using a small page size vs. a large page size:	"• Smaller pages reduce internal fragmentation (less wasted memory). • Larger pages reduce the size of the system's page tables (less granular). • Larger pages result in more efficient disk I/O."		
Page sizes are commonly ________ or ________ on most systems.	4 kilobytes or 8 kilobytes		
Most 32-bit systems use ________ bytes to represent each entry in the page table:	4 bytes		
How many distinct physical frames of memory can be addressed by a page table that uses 4 bytes for each entry?	The table could address [$]2^32[/$] physical page frames.		
The operating system uses a ________ to track the use of all frames of memory.	A frame table.		
Distinguish the frame table from the page table:	"The frame table records which frames are currently mapped to a page. The page table holds the mapping between virtual page addresses and physical frame addresses. It may also hold auxiliary information such as a valid bit, a modified (""dirty"") bit, the process / address space associated with the page, etc."		Note that an inverted page table effectively combines the frame and page tables.
Why must we normally allocate and manage a page table for each process?	When the dispatcher switches one active process out for another, it must use a process-specific page table to overwrite the existing values stored in the hardware page table.		
Updating values in the page table requires ________.	Privileged instructions (that must be executed in kernel mode).		
Hardware page tables were originally implemented as a set of ________.	A set of hardware registers.		
How are modern hardware page tables normally implemented?	"The operating system stores each process's page table somewhere in main memory. When the dispatcher performs a context switch, it updates a value stored in the CPU's page-table base register (PTBR) to match the value defined in the new process's task control block."		"When the process must perform a memory lookup, the value of the PTBR is used to look up into the process's page table."
Why is it not feasable to rely solely on a process page table (in main memory) when performing memory lookups?	"Because each (user space) memory access would actually require 2 lookups: • One to look up the starting location of the process's page table, and • A second to look up the absolute address that was calculated after indexing into the page table."		
What is the translation lookaside buffer (TLB)?	"A hardware cache (table) composed of high-speed associative memory. The TLB stores key-value (or ""tag-value"") entries—in which each key represents a logical page number and each value is a physical frame number. The CPU presents the page number of a logical address to the TLB, which performs a fast lookup and returns a matching frame number (if one is found)."		
Give a low and high bound for the number of entries typically supported by the TLB:	The size of the TLB cache normally ranges from 64 to 1024 entries.		Fast, associative memory is expensive, so this limits the size of most TLB hardware.
List 2 possible replacement policies for replacing entries in the TLB:	1. Least recently used (LRU). 2. Random selection.		
"What does it mean if some entries in the TLB are ""wired down""?"	This means that those entries cannot be evicted from the TLB. Most wired-down entries point to kernel data and routines (e.g., a pointer to the ready queue, etc).		
How can a TLB use address-space identifiers to improve security?	Each entry in the cache can associated (labeled) with a unique process. If the currently-running process causes the CPU to present a page number associated with a different process, the TLB treats it as a cache miss; this eventually generates a memory access violation for the running process.		
How can a TLB use address-space identifiers to improve performance?	"Without ASIDs, we'd have to flush (erase) the TLB with every context switch; otherwise, a valid page number may be mapped to an incorrect physical address (i.e., within a frame that is not mapped to the new process)."		
"What purpose is served by the valid bit in a process's page table entries?"	"This bit is set by the operating system to indicate whether or not the entry's associated page lies inside of the current process's logical address space. If the bit is not set (i.e., invalid), then the process may not look up into the entry (this would result in a trap)."		
When can code be considered re-entrant?	Suppose we have a procedure that starts executing on behalf of one process—only to have it be interrupted by another process that also begins executing the same procedure (before the initial execution completes). If the second execution can complete—allowing the first to continue—without changing the final result (i.e., no side effects), then we can say that this procedure (code) is re-entrant. Re-entrant code must not be modifiable by the code itself (i.e., no shared state).		Oftentimes the interrupting process is a related thread.
To be safely shareable, code must be ________.	Re-entrant.		
A hierarchichal page table is sometimes called a ________ page table.	A forward-mapped page table (as address translation works from the outer page table inward).		
A hierarchichal page table strategy (e.g., for a two-level page table) requires us to divide each logical (virtual) memory address into ________.	Three or more address components (e.g., outer page number, inner page number, and page offset).		
With hierarchichal paging strategies, the outer page number is sometimes called the ________ number.	The section number.		
A multi-level paging strategy with N levels requires us to divide each logical address into ________ components.	[$]N + 1[/$]		
When are a multilevel (hierarchichal) page tables generally not desirable?	"When the system's address space is quite large (i.e., with 64-bit architectures)."		
Give a brief description of a hashed page table design:	We the single-level or multi-level page table structure with a hash table. The hash table maps virtual page numbers (as keys) to entries that contain a mapped physical frame address.		
Describe the structure of the entries stored in a hashed page table:	Keys are hashed and mapped to a linked list of entries; each entry consists of 3 components: 1. A virtual page number (i.e., key). 2. The associated mapped physical frame number. 3. A pointer to the next element in the linked list. When a virtual address is presented by the CPU, the memory unit hashes the page number and performs a lookup into the hash table. If an associated list of entries exists in the table, the procedure iterates through the entries, looking for a match (i.e., key that was hashed must match the first component in the entry).		
"What is one advantage of allocating a process page table that can represent every page in the process's logical address space?"	"The operating system can quickly calculate the offset (location) of the page number's corresponding physical address entry in the table."		
"What is one disadvantage of allocating a process page table that can represent every page in the process's logical address space?"	The process is unlikely to use every page that belongs to its address space, so some table space may be wasted.		
Describe the structure of an inverted page table:	An inverted page table has one entry for each physical frame of memory in the system. Each entry consists of the set of virtual (logical) page numbers (and its associated address-space identifier) that map to that frame. Thus, it follows that only one page table has to be allocated for the entire system (all processes).	// Virtual address components<process-id, page-number, offset> // Inverted page table entry<process-id, page-number>	
How does using a linear inverted page table affect the performance of the memory subsystem?	Given a logical page number, more time is needed to perform a lookup as we might have to check every index in the table looking for a match.		This issue can be circumvented by implementing the inverted page table as a hash table. Note that this approach doubles the number of memory references needed to access a memory location by its logical (virtual) address. The TLB can alleviate this, though.
What is memory segmentation?	"A memory-management technique that divides a process's logical address space into several segments, each normally associated with some component of the program—code, data, stack, shared libraries, etc."		
What are the components of a memory segment (for a process):	Each segment is assigned a name, a segment number, and a length (i.e., size). In a segmented memory scheme, each logical address consists of a two-tuple (<segment-number, offset>).		
The set of memory segments for a program are usually defined by ________.	The compiler.		
List 5 program components that might receive their own segments in memory:	"1. Code segment (i.e., ""text segment""). 2. Data segments (i.e., ""data segment"" and ""BSS segment""). 3. Heap segment. 4. Stack segment(s) (for each thread). 5. The standard C library."		
"Segments for a process are defined in the process's ________."	Segment table.		
The region of physical memory allocated for a logical segment is defined using a ________ and a ________.	Segment base / segment limit		
A segment table for a process is essentially an array of ________.	Base-limit register pairs.		
