What is a Computer Program?,A computer program is a set of instructions that we want a computer to perform.
The first step of the hash function is usually to map ______ to _________.,each key a big integer
GUI,"Globally unique identifier Generated from random numbers normally contain 6 fixed bits (these indicate that the GUID is random) and 122 random bits the total number of unique such GUIDs is 2^122 usually stored as 128-bit values, are commonly displayed as 32 hexadecimal digits with groups separated by hyphens eg: {21EC2020-3AEA-4069-A2DD-08002B30309D}. Assuming uniform probability for simplicity, the probability of one duplicate would be about 50% if every person on earth as of 2014 owned 600 million GUIDs."
"In general, what is MurmurHash?","general hash-based lookup simple, very fast, and collision resistant non-cryptographic"
Avalanche effect,"when an input is changed slightly (for example, flipping a single bit) the output changes significantly (e.g., half the output bits flip). a desirable property of cryptographic algorithms"
State Machine Replication Principle,"If two identical, deterministic processes begin in the same state and get the same inputs in the same order, they will produce the same output and end in the same state."
What is the general formula for a hash function?,"bytewise iteration over a key during which some internal state is mixed up with the key bits via some combination of ANDs, ORs, XORs, ADDs, shifts, magic numbers, modular arithmetic ..."
Angle brackets,< > used in markup languages like HTML
"""If you have only data struture, make it a _____""",hash table
XPath,"is a language for selecting nodes in XML documents, which can also be used with HTML."
What is separate chaining in hashes?,"Each key is hashed to a bucket There is an intermediate list that has the hashed value as the index. If two keys are hashed the same list, the 2nd is moved else where."
What is open addressing in hashing?,"all entry records are stored in the bucket array itself. When a new entry has to be inserted, the buckets are examined, starting with the hashed-to slot and proceeding in some probe sequence, until an unoccupied slot is found."
What is idempotence?,can be applied multiple times without changing the result beyond the initial application idem + potence (same + power)
HATEOAS,Hypertext As The Engine Of Application State. hypertext should be used to find your way through the API The hypertext is actually telling us what is allowed and what not http://restcookbook.com/Basics/hateoas/
What is the Richardson Maturity Model?,Level 0: Swamp of POX Level 1: Resources Level 2: HTTP verbs Level 3: Hypermedia controls
A Hash function can create unique identifer numbers so l large they exceed the number fo slots in a hash table. What do you do?,"Reduce this number to an integer between 0 and m−1, by taking the remainder of H(S) mod m (m is the number of slots in the hash table) Like a roulette wheel Ideally m is a large prime not too close to 2i − 1"
What is the Rabin-Karp algorithm?,Compute hash function for each text position. Need full compare on hash match to guard against collisions. Speed up by using previous hash to compute next hash.
A suffix tree is a________ containing all the suffixes of _________.,trie a given set of strings.
Currying,"translating the evaluation of a function that takes multiple arguments into evaluating a sequence of functions, each with a single argument (partial application)"
,"for a given programming language and positive integers m and n, there is a particular algorithm that operates on the source code of programs with m + n free variables the theoretical premise for partial evaluation aka, iteration theorem"
What is an example of currying?,
heapsort is an implementation of __________ sort with ________ data structure.,selection heap / priority queue
heap-labeled tree,a binary tree with key labeling of each node dominates the key labeling of each of its children.
The heap is a data structure that enables us to represent _______without using any ______.,"binary trees pointers We will store data as an array of keys, and use the position of the keys to implicitly satisfy the role of the pointers."
heapify,"the percolate-down operation after the removal of a node dissatisfied element bubbles down the heap until it dominates all its children, perhaps by becoming a leaf node and ceasing to have any merges two heaps (the subtrees below the original root) with a new key."
What is the pseudo code for mergesort?,
What does Quicksort do?,"Create a low pile containing all the elements that appear before p in sorted order Create a high pile containing all the elements that appear after p in sorted order. Low and high denote the array positions we place the respective piles, leaving a single slot between them for p."
N-Tier architectures,a client-server architecture with logically separate processes: - the presentation - the application processing - the data management
Lempel–Ziv–Oberhumer (LZO),a lossless data compression algorithm that is focused on decompression speed. produces files a bit larger than gzip's but with less than a tenth of the CPU use. one of fastest compressors available
HyperLogLog,apporximate set cardinality associative and commutative look into read & write & error rates
Uniform Access Principle,"All services offered by a module should be available through a uniform notation, which does not betray whether they are implemented through storage or through computation"" no difference between working with: - an attribute - precomputed property - method/query class Egg(object): def __init__(self, weight, color): self.__weight = toGrams(weight) self.__color = toRGB(color) def setColor(self, colorname): self.__color = toRGB(colorname) def getColor(self): return toColorName(self.__color) color = property(getColor, setColor, doc=""Color of the Egg"") def setWeight(self, weightOz); self.__weight = 29.3*weightOz def getWeight(self): return self.__weight/29.3; weight = property(setWeight, getWeight, doc=""Weight in Ounces"") def quack(self): return ""quack"""
"""Nuts & Bolts"" You are given a collection of n bolts of different widths, and n corresponding nuts. You can test whether a given nut and bolt fit together, from which you learn whether the nut is too large, too small, or an exact match for the bolt. The differences in size between pairs of nuts or bolts are too small to see by eye, so you cannot compare the sizes of two nuts or two bolts directly. You are to match each bolt to each nut.","Pick a bolt as a pivot, sort all the nuts acording that bolt Pick a nut as a pivot, sort all the bolts against that bolt you will need 2n-2 comparisons."
What is bucketsort?,"For example names, make a pile for 1st letters (26) within each pile make piles for 2nd letters Works well with uniform distrubted data aka distribution sort"
How do you win at 20 questions?,"Binary search with the dictionary Start with move, higher or lower with 20 splits you'll get the word."
Pollack’s Rule,"microprocessor ""performance increase due to microarchitecture advances is roughly proportional to [the] square root of [the] increase in complexity"". This contrasts with power consumption increase, which is roughly linearly proportional to the increase in complexity. the speedup achievable by adding computing elements to a processor is proportional to the number of added elements, raised to the power of (1-1/D), where D is the dimension in which the processors are arranged. combined with Moore's means things get faster while using same amount of power"
What is a fast method to count the number of times a given key k (say “Skiena”) occurs in a given sorted array?,DO NOT test sequetinol for start and stop Binary search for 1st and last
Master theorem,a solution in asymptotic terms for recurrence relations of types that occur in the analysis of many divide and conquer algorithms easily calculate the running time of a recursive algorithm in Θ-notation without doing an expansion of the recursive General form: Example: Binary Search Run time:
Closure,"A nested function has access to the environment in which it was defined. The definition occurs during the execution of the outer function. Therefore, it is possible to return an inner function that remembers the state of the outer function, even after the outer function has completed execution."
Mojibake,"This is what a website can look like if the wrong font encoding is used. Incorrect, unreadable characters shown when computer software fails to show text correctly."
"""Does Not Compose"" is the new",shitty
Composability,a system design principle that deals with the inter-relationships of components. provides recombinant components that can be selected and assembled in various combinations to satisfy specific user requirements. needs to be: -modular -stateless
Procedural graphics,Don't send pixels Send program that created graphics client side
GA,general availability or general acceptance the point where all necessary commercialization activities have been completed the software has been made available to the general market
What is wsgi vs websockets?,"wgsi pass messages back and forth websockets create a pipe to keep using (slightly more complicated, scales better)"
What is declarative control programming?,"Describe end state, not path ""This server should be running in production."" NOT: Check server, if not find and make server Check again"
"What store data so that they, or another application, can find it again later?",databases
What remembers the result of an expensive operation to speed up reads?,cache
What allow users to search data by keyword or filter it in various ways?,search indexes
"What sends a message to another process, to be handled asynchronously?",stream processing
What periodically crunches a large amount of accumulated data?,batch processing
What is data stores that are also used as message queues?,Redis
What is a message queues with database-like durability guarantees?,Kafka
What techology can be used in application-managed caching layer?,memcached
"The system should continue to work correctly (performing the correct function at the desired performance) even in the face of adversity (hardware or software faults, and even human error).",Reliability
"As the system grows (in data volume, traffic volume or complexity), there should be reasonable ways of dealing with that growth.",Scalability
"Over time, many different people will work on the system (engineering and operations, both maintaining current behavior and adapting the system to new use cases), and they should all be able to work on it productively.",Maintainability
telemetry,"Set up detailed and clear monitoring, such as performance metrics and error rates. the highly automated communications process by which measurements are made and other data collected at remote or inaccessible points and transmitted to receiving equipment for monitoring. Once a rocket has left the ground, telemetry is essential for tracking what is happening, and for un‐ derstanding failures."
What are the advantages of Flash for DBs?,"Random reads Throughput Latency Parallelism Lease them, they wear out"
.NET,"a key Microsoft platform for cloud, service and app development recently open sourced not a language"
"L1 cache reference: 0.5 ns Branch mispredict: 5 ns L2 cache reference: 7 ns Mutex lock/unlock: 100 ns Main memory reference: 100 ns Compress 1K bytes with Zippy: 10,000 ns Send 2K bytes over 1 Gbps network: 20,000 ns Read 1 MB sequentially from memory: 250,000 ns Round trip within same datacenter: 500,000 ns Disk seek: 10,000,000 ns Read 1 MB sequentially from network: 10,000,000 ns Read 1 MB sequentially from disk: 30,000,000 ns Send packet CA->Netherlands->CA: 150,000,000 ns (note that 1 ns = 1 * 10^-9 s)",
Why is logarithmical scaling better than linearly?,Spend less time dressing per item the more items processed
Microservices,components as services Components that were combined together in the stateful architecture should be separated out into services
Microservices components are defined according to,"their primary purpose - either collection, processing, or data providing."
"Delegate responsibility for state management to _________, keeping ____________ stateless.",the persistence tiers the application tiers
fan-out,"In transaction processing systems, we use it to describe the number of requests to other services that we need to make in order to serve one incoming request A term borrowed from electronic engineering, where it describes the number of logic gate inputs that are attached to another gate’s output. The output needs to supply enough current to drive all the attached inputs. eg: each user follows many people, and each user is followed by many people."
When looking at latency of web system what are the steps?,"Get a representative sample Sort and plot it Look for mean, median, 95 percentile, 99% percentile."
"“good operations can often work around the limitations of ________, but good software cannot run reliably with ________”.",bad (or incomplete) software bad operations
plasticity,The ease with which you can modify a data system closely linked to its simplicity and its abstractions
What are functional requirements vs. non-functional requirements?,"functional requirements what it should do e.g. allow data to be stored, retrieved, searched and processed in various ways non-functional requirements general properties eg: security, reliability, compliance, scalability, compatibility and maintainability"
metaprogarmming,code that manipulates code
polyglot persistence,where any decent sized enterprise will have a variety of different data storage technologies for different kinds of data.
impedance mismatch,"The disconnect between the models data stored in a relational tables, data used as objects in applications"
,
semantic web,websites should publish information as machine-readable data for computers to read to create a ‘database of everything’ eg: Resource Description Framework (RDF)
URLs are formatted like this:,<protocol>://<server>/<path>
the protocol of url,This is the “how” – it tells your computer which conventions to use when talking to the computer serving the requested page. “http” is a special set of rules for requesting and receiving web content eg:http:// s3://
the server of url,This is the “where” – it tells your computer the name of the computer serving the requested page. eg: the server is “www.npr.org” which is the name for one or more computers operated by NPR.
the path of the url,the “what” it indicates which page you’re interested in accessing on the requested website. eg: “series/tiny-desk-concerts/“ the name associated with a particular page among many available at the NPR website.
DNS,"(Domain Name System) the internet’s “phone book” It’s how clients, like your web browser, convert a server name into its corresponding IP address."
How does the consumer web work?,"1. You told your browser you wanted to visit a particular URL (http://mkcohen.com/dog.html). 2. Your browser parsed the URL into three pieces: the protocol (HTTP), the server (mkcohen.com) and the path (dog.html). 3. Your browser used the DNS system to convert the server’s user-friendly name (mkcohen.com) into my server’s internet protocol address (174.121.79.148). 4. Your browser made a connection to my server’s IP address. 5. Your browser sent my server an HTTP request asking for a copy of the HTML document stored at dog.html. 6. My server found the requested HTML document and returned it to your browser via an HTTP response. 7. Your browser received the response. 8. Your browser interpreted and displayed the HTML document contained in the response. At this point, you struggled to contain your joy as the magnificently handsome Meiko appeared on your screen. 9. Your browser dropped the connection to my server, terminating the session."
Steps in algorithm design,1. Problem definition 2. Development of a model 3. Specification of Algorithm 4. Designing an Algorithm 5. Checking the correctness of Algorithm 6. Analysis of Algorithm 7. Implementation of Algorithm 8. Program testing 9. Documentation
Divide and conquer algorithm,"based on multi-branched recursion recursively breaking down a problem into two or more sub-problems of the same (or related) type, until these become simple enough to be solved directly. The solutions to the sub-problems are then combined to give a solution to the original problem. eg: - sorting (e.g., quicksort, merge sort) - multiplying large numbers (e.g. Karatsuba), - syntactic analysis (e.g., top-down parsers), - computing the discrete Fourier transform (FFTs)."
greedy algorithm,makes the locally optimal choice at each stage with the hope of finding a global optimum. frequency not the best but good enough and quick determine minimum number of coins to give while making change.
backtracking,"finding all (or some) solutions to some computational problems, that incrementally builds candidates to the solutions, and abandons each partial candidate c (""backtracks"") as soon as it determines that c cannot possibly be completed to a valid solution works well in constraint satisfaction problems eg: eight queens puzzle asks for all arrangements of eight chess queens on a standard chessboard so that no queen attacks any other."
Coase theorem,"when property rights are involved, parties naturally gravitate toward the most efficient and mutually beneficial outcome. high transaction costs - insource low transaction costs - outsource"
Trapdoor function,"a function that is easy to compute in one direction, yet difficult to compute in the opposite direction (finding its inverse) without special information used in cryptography"
Smart data structures and dumb code works a lot better than the other way around.,
ISO 8601,best datestamp format
Explain how an ad auction works,
Best-first search,a graph search orders all partial solutions (states) according to some heuristic which attempts to predict how close a partial solution is to a complete solution (goal state)
You can optimtize the algorithm and/or optimitize the _______.,system
polylog(n),"""some polynomial in log(n)"""
Lattice problem,a class of optimization problems on lattices including: Shortest independent vectors problem (SIVP) Bounded distance decoding Covering radius problem Shortest basis problem
Nielsen's Law,Users' bandwidth grows by 50% per year Annualized Growth Rate 50% Compound Growth Over 10 Years 57× (10% less than Moore's Law for computer speed). The new law fits data from 1983 to 2014.
Mobility Gap,"the gap between our ability to calculate (Moore's law) and store data (Kryder's law), and our ability to move it around (Neilson's law)."
Conway’s Law,"""Any organization that designs a system (defined broadly) will produce a design whose structure is a copy of the organization’s communication structure."""
best method to sort files into groups,file_id mod n_groups
Noisy channel model,the goal is to find the intended word given a word where the letters have been scrambled in some manner. a framework used in: - spell checkers - question answering - speech recognition - machine translation
What are the latency every programmer should know?,
Constraint Programming,identifying feasible solutions out of a very large set of candidate solutions based on feasibility (finding a feasible solution) rather than optimization (finding an optimal solution) focuses on the constraints and variables rather than the objective function. an assignment of values to variables such that every constraint is satisfied eg: N-queens problem
Boolean satisfiability problem,"the problem of determining if there exists an interpretation that satisfies a given Boolean formula it asks whether the variables of a given Boolean formula can be consistently replaced by the values TRUE or FALSE in such a way that the formula evaluates to TRUE The 3-SAT instance (x∨x∨y) ∧ (¬x∨¬y∨¬y) ∧ (¬x∨y∨y) reduced to a clique problem. The green vertices form a 3-clique and correspond to the satisfying assignment x=FALSE, y=TRUE."
Aerospike,"a flash-optimized in-memory open source NoSQL database optimized to store data in solid state drives, RAM, or traditional rotational media. The database indices are stored in RAM for quick availability data writes are optimized through large block writes to reduce latency. 3 layers: 1) a flash optimized data layer 2) a self-managed distribution layer 3) a cluster-aware client layer"
"In Lambda architecture, the system involves three layers:",1. batch processing 2. speed (or real-time) processing 3. A serving layer for responding to queries
In batch layer of Lambda architecture,"aims at perfect accuracy by being able to process the all available big dataset which is an immutable, append-only set of raw data using distributed processing system. Output will be typically stored in a read-only database with result completely replacing existing precomputed views. Apache Hadoop, Pig, and HIVE are the de facto batch-processing system."
"In speed layer of Lambda architecture,","the data is processed in streaming fashion, the real-time views are provided by the most recent data. As a result, the speed layer is responsible for filling the ""gap"" caused by the batch layer's lag in providing views based on the most recent data. Apache Storm"
In serving layer of Lambda architecture,"the result from batch layer and speed layer will be stored here, it responds to queries in a low-latency and ad-hoc way."
Symbolic regression,"Searches the space of mathematical expressions to find the model that best fits a given dataset, No particular model is provided as a starting point to the algorithm. Initial expressions are formed by randomly combining mathematical building blocks such as mathematical operators, analytic functions, constants, and state variables."
Explain how to use Dynamic Programming to make change.,"Start with smallest base case, build up with memorization 1. A penny plus the minimum number of coins to make change for 11−1=10 cents (1) 2. A nickel plus the minimum number of coins to make change for 11−5=6 cents (2) 3. A dime plus the minimum number of coins to make change for 11−10=1 cent (1)"
What are the 5 W of log messages?,1) Why? User/machine intent 2) When? Timestamp with timezone 3) Where? node 4) Who? 5) What? Try to do / actually do
Define innovation,New stuff with enduring value
HyperLogLog,Approximate Set Cardinality
HyperLogLog has which 2 mathmatical properties,Associative the order in which the operations are performed does not matter as long as the sequence of the operands is not changed. Commutative changing the order of the operands does not change the result.
cardinality,"fundamental principle of one data table with respect to another ""one-to-many"" or ""many-to-many"""
Hex encoding,"Each byte is encoded as a separate character pair. easy to understand and to implement most inefficient scheme, in fact it increases the size of the data by 100%."
binary encoding,"a sequence of 8 bit bytes, where each byte can have a value between 0×00 and 0×FF. ASCII data represents text as a sequence of bytes. In the ASCII system, byte values in the range 0×00 to 0×7F are used to represent English language letters (upper and lower case), numerals, punctuation symbols, and various “control characters”."
Caesar cipher,a type of substitution cipher in which each letter in the plaintext is replaced by a letter some fixed number of positions down the alphabet.
The Four-Tier Engagement Platform,
Microservices Architecture,a service-oriented architecture composed of loosely coupled elements that have bounded contexts.
social viral growth is a _________________,ring fire rapid exponential growth from edges then collapse
n-tier architecture,"creating implicit layers by separating source-code modules into package lack clear roles, responsibilities, and relationships to one another. aka, big ball of mud architecture anti-pattern"
Name and draw the 4 layers of n-teir architecture,1) presentation 2) business 3) persistence 4) database
Define each of the following,1) Presentation layer responsible for handling all user interface and browser communication logic 2) Business layer responsible for executing specific business rules associated with the request aka domain layer 3) Persistence layer handles the read/write of the business data to the data layer aka called data access layer (DAL). 4) Database layer the external data source such as a database.
Describe a customer request in 4 teir architecture,
architecture sinkhole anti-pattern,requests flow through multiple layers of the architecture as simple pass-through processing with little or no logic performed within each layer typical to have around 20 percent of the requests as simple pass- through processing and 80 percent of the requests having some business logic associated with the request.
event-driven architecture pattern,"a popular distributed asynchronous architecture pattern used to produce highly scalable applications made up of highly decoupled, single-purpose event processing components that asynchronously receive and process events"
Name 2 main topologies of event-driven architecture pattern,1) mediator used when you need to orchestrate multiple steps within an event through a central mediator 2) broker chain events together without the use of a central mediator
Mediator Topology for event-driven architecture pattern,useful for events that have multiple steps and require some level of orchestration to process the event.
List 4 four main types of architecture components within the mediator topology in event-driven architecture pattern,"1) event queues transport the event to the event mediator 2) an event mediator receives the initial event and orchestrates that event by sending additional asynchronous events 3) event channels execute each step of the process 4) event processors which listen on the event channels, receive the event from the event mediator and execute specific business logic to process the event"
Name 2 types of events for mediator topology in event-driven architecture pattern,1) initial event the original event received by the mediator 2) processing event events generated by the mediator and received by the event-processing components.
"event mediator doesn’t actually perform the _______, rather it __________.",business logic necessary to process the initial event knows of the steps required to process the initial event
broker topology in event-driven architecture pattern,"no central event mediator distributed across the event processor components in a chain-like fashion through a lightweight message broker good when there is relatively simple event processing flow and you do not want (or need) central event orchestration. e.g., ActiveMQ, HornetQ, etc."
Name 2 main types of architecture components in broker topology in event-driven architecture pattern,"1) broker component entralized or federated and contains all of the event channels that are used within the event flow 2) event processor component message queues, message topics, or a combination of both."
Draw a mediator topology in event-driven architecture pattern,
Draw a broker topology in event-driven architecture pattern,
microkernel architecture pattern,"2 architecture components 1) a core system 2) plug-in modules aka, plug-in architecture pattern eg: Eclipse IDE"
Draw a microkernel architecture,
Draw a basic microservices architecture pattern,
space-based pattern,"High scalability is achieved by removing the central database constraint and using replicated in-memory data grids instead aka, cloud architecture pattern eg: bidding auction site is a good example of this"
tuple space,distributed shared memory an implementation of the associative memory paradigm for parallel/distributed computing a repository of tuples that can be accessed concurrently.
Name 2 primary components within space-based pattern architecture,"1) Processsing unit contains the application components, including backend business logic 2) virtualized middleware handles housekeeping and communications control various aspects of data synchronization and request handling"
Draw a processing unit space-based architecture,
"Fear, uncertainty and doubt (FUD)","a tactic used in sales, marketing, public relations, politics and propaganda. generally a strategic attempt to influence perception by disseminating negative and dubious or false information eg: iPhone jailbreaking could potentially allow hackers to crash cell phone towers"
QRP operation,transmitting at reduced power while attempting to maximize one's effective range
applicative state transition systems,"computation and update are separated programs are interpreted as defining functions over states, and update follows successful computation of new states"
Array,A fixed size collection of elements each identified by an array index. Access: Constant time given index (O(1)) Search: Linear time (O(n))
Vector,Similar to an array but allows resizing. Essentially a dynamic array. Access: Constant time given index (O(1)) Search: O(n) Insertion: O(n) Deletion: O(n)
Singly linked list,"A group of nodes which create a sequence. A node contains a data element and a reference (pointer) to the node ahead of it. Can be used to implement lists, queues, and stacks. Do not allow random access like arrays/vectors. Access: O(n) Search: O(n) Insertion: O(1) Deletion: O(1)"
Doubly linked list,A linked list whose nodes contain a reference (pointer) to both the node ahead and behind it. Access: O(n) Search: O(n) Insertion: O(1) Deletion: O(1)
Hash table,"Implements an associative array, a structure which maps keys to values. A hash table uses a hash function to compute a key/index for an element that corresponds to an array of buckets/slots, where the value of the element can be found. Access: O(1) depending on the load factor* Search: O(1) depending on the load factor* Insertion: O(1) depending on the load factor* Deletion: O(1) depending on the load factor* *Load factor: The number of entries divided by the number of buckets. A low load factor provides a hash table with O(1) time complexities."
Tree,Simulates a hierarchical tree structure using linked nodes - has a root node and subtrees of children nodes. Binary search tree time complexity: Access: O(log(n)) Search: O(log(n)) Insertion: O(log(n)) Deletion: O(log(n))
Graph,"Consists of a finite set of nodes/vertices together with a set edges/arcs, ordered pairs of these vertices. Edges may have an edge value (ie cost, capacity, length, etc). Adjacency list time complexity: Storage: O(|V| + |E|) Add vertex: O(1) Add edge: O(1) Remove vertex: O(|V| + |E|) Remove edge: O(|E|) Query: O(|V|)"
Net Promoter Score (NPS),"Promoters (score 9-10) are loyal enthusiasts who will keep buying and refer others, fueling growth. Passives (score 7-8) are satisfied but unenthusiastic customers who are vulnerable to competitive offerings. Detractors (score 0-6) are unhappy customers who can damage your brand and impede growth through negative word-of-mouth."
gzip,file compression and decompression both a file format and a software application
DEFLATE,a data compression algorithm uses a combination of the LZ77 algorithm and Huffman coding.
"If accessing data on the processor is equivalent to accessing information from your head, ___________","then accessing data in RAM is equivalent to driving the 1.5 hours from Berkely to Sacramento to retrieve it, accessing data on disc is equivalent to taking a two year space shuttle trip to Pluto to retrieve it! - database researcher Jim Gray"
double,"aka, double precision type occupies 8 bytes (64 bits) in computer memory represents a wide dynamic range of values by using floating point uses more memory but more precise double derives from the fact that a double-precision number uses twice as many bits as a regular floating-point number. The extra bits increase not only the precision but also the range of magnitudes that can be represented. eg: 3ff0 0000 0000 000016 = 1 3ff0 0000 0000 000116 ≈ 1.0000000000000002, the smallest number > 1 3ff0 0000 0000 000216 ≈ 1.0000000000000004 4000 0000 0000 000016 = 2 c000 0000 0000 000016 = –2 0000 0000 0000 000116 = 2−1022−52 = 2−1074 ≈ 4.9406564584124654 × 10−324 (Min subnormal positive double) 000f ffff ffff ffff16 = 2−1022 − 2−1022−52 ≈ 2.2250738585072009 × 10−308 (Max subnormal double) 0010 0000 0000 000016 = 2−1022 ≈ 2.2250738585072014 × 10−308 (Min normal positive double) 7fef ffff ffff ffff16 = (1 + (1 − 2−52)) × 21023 ≈ 1.7976931348623157 × 10308 (Max Double)"
TOOWTDI,There's Only One Way To Do It eg: Python not eg: Perl
Neural Turing Machines,"Extend the capabilities of neural networks by coupling them to external memory resources, which they can interact with by attentional processes. The combined system is analogous to a Turing Machine or Von Neumann architecture but is differentiable end-to-end, allowing it to be efficiently trained with gradient descent. Preliminary results demonstrate that Neural Turing Machines can infer simple algorithms such as copying, sorting, and associative recall from input and output examples. very promising for the future"
"When in doubt, use __________",brute force - Ken Thompson
Map (higher-order function),"a given function to each element of a list, returning a list of results. aka, apply-to-all when considered in functional form. eg: square x = x * x map square [1,2,3,4,5] [1,4,9,16,25]"
Viterbi,"the application of dynamic programming algorithms to maximization problems involving probabilities a dynamic programming algorithm for finding the most likely sequence of hidden states eg: Speech recognition the acoustic signal is treated as the observed sequence of events, and a string of text is considered to be the ""hidden cause"" of the acoustic signal. The Viterbi algorithm finds the most likely string of text given the acoustic signal."
µs,Microsecond one millionth of second
µs is to to one second as one second is to _______.,11.574 days
ms,"a thousandth of a second 1/1,000 of a second"
KD trees partition data _______________. Ball trees partition data ______________.,"Cartesian axes a series of nesting hyper-spheres. thus, addressing the inefficiencies of KD Trees in higher dimensions"
k-d tree is short for,k-dimensional tree 3d k-tree
ORM,sync in-memory object with relational data store hard problem to solve
Connection pool,a cache of database connections maintained so that the connections can be reused when future requests to the database are required. Connection pools are used to enhance the performance of executing commands on a database.
What are 2 fundmental attributes of data stream procesing?,1. Every record in the system must have a timestamp (99% of cases is the time at which the data were created) 2. Each and every record is processed as it arrives
What is larger than gigabyte?,Terabyte (TB)
What is larger than Terabyte?,Petabyte (PB)
What is the larger than exabyte?,Zettabyte (ZB) (1 000 000 000 000 000 000 000 Bytes)
Bloom filters are used for _______,high-speed set membership tests.
Bloom filters have ___________ with only a ____________.,very good space efficiency small fraction of false positive answer
What is one limitation of Bloom Filters?,Can not delete items from the set
Cuckoo hashing,"an elegant method for resolving collisions in hash tables The name derives from the behavior of some species of cuckoo, where the cuckoo chick pushes the other eggs or young out of the nest when it hatches we use two hash tables T1 and T2 of equal size, and we index them with the hash functions h1, respectively h2. Inserting a new key into a cuckoo hashing table may push an older key to a different location in the table."
Explain cuckoo hasing,"The arrows show the alternative location of each key. A new item would be inserted in the location of A by moving A to its alternative location, currently occupied by B, and moving B to its alternative location which is currently vacant. Insertion of a new item in the location of H would not succeed: Since H is part of a cycle (together with W), the new item would get kicked out again."
Cuckoo filters,Extend Bloom filters with cuckoo hashing the filter stores only fingerprints a set membership query for item x simply searches the hash table for the fingerprint of x and returns true if an indentical fingerprint is found
What is larger than Petabyte?,Exabyte EB 1 000 000 000 000 000 000 Bytes 5 Exabytes: All words ever spoken by human beings.
A byte is __ bits,8
A binary decision is ____ bytes.,.1
XML is actually more a ________ format than a _______ format,document data
What is a DataFrame?,A collection of rows organized into named columns
What is traditional Database operations?,1. Define 2. Load 3. Do
"Technically, it’s not even schema-on-write; it’s _______.",schema-before-write
Draw a diagram why scheme-on-read is a better approach?,
Where does schema-before-write fall down?,1. Building future apps 2. Dropping data that doesn't fit into schema
Protocol buffers,"a method of serializing structured data Google's language-neutral, platform-neutral, extensible mechanism think XML, but smaller, faster, and simpler. You define how you want your data to be structured once, then you can use special generated source code to easily write and read your structured data to and from a variety of data streams and using a variety of languages – Java, C++, or Python."
template matching,"uses a ‘template’, or model, of the object we want to find (in probability parlance this is called a prior), and then scans an image to see if any part of it is similar to the template."
The technical name for scanning the image with a template is ___________.,"cross correlation Cross correlation compares two sets of data and returns a measure of how similar they are. If the two sets of data are the same the cross correlation is 1, if they are completely different the cross correlation is 0."
garbage collection is ______ type of problem,graph search unreachable data structures
Bounded Context,"encapsulates all internal details of that domain and has explicit integration points with other bounded contexts In microservice architectures, the bounded context is also a physical context."
What is the difference between MTTR and MTBF?,MTTR: Mean Time To Repair MTBF: Mean Time Between Failure
"Given 1,000 bottles of wine. 1 has posion. You only have 10 mice to test the wine with only 1 shot. Can you guarantee to find the posioned bottle?","Yes - Encode the wine bottle numbers in binary. Give each mouse is a combination based on this table: | mouse | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | |-----------|---|---|---|---|---|---|---|---|---|---|---| | wine 1 | - | - | - | - | - | - | - | - | - | - | - | - | | wine 2 | - | - | - | - | - | - | - | - | - | - | - | + | | wine 3 | - | - | - | - | - | - | - | - | - | - | + | - | | wine 4 | - | - | - | - | - | - | - | - | - | - | + | + | ... | wine 1000 | + | + | + | + | + | - | + | - | - | - | If none of the mice die, wine bottle 1 contains the poison. If only mouse 10 dies, wine bottle 2 contains the poison. ... If mice 1-5 and 8 die, wine bottle 1000 contains the poison. That systems allows for an additionally 24 bottles to be encoded, 2^10=1024."
Sturgeon's law,"""ninety percent of everything is crap."""
Average-case runtime is _____________________.,the average of how long it would take the algorithm to run if it were given all possible inputs.
"What is the runtime for common Big O, if N = 100?",
Djikstra’s Algorithm takes _________ time to find the best route.,O(E*V*Log(V)) E is the number of road segments V is the number of intersections
Djikstra’s Algorithm requires a ____________.,priority queue
"If you have N employees and M jobs that need to be done, but not every employee can do every job, the _______ algorithm will tell you how to assign your N employees to M jobs in such a way that every job gets done, provided that’s possible.",max flow
"Finds the differences between two sequences. Calculate the minimum number of insertions, deletions, and edits required to transform sequence A into sequence B.",Use dynamic programming O(N*M) where N and M are the numbers of elements in the two sequences
primitives,non-object data many (barbaric) languages have them python & scala everything is an object
Timsort,"a hybrid sorting algorithm, derived from merge sort and insertion sort, designed to perform well on many kinds of real-world data. finds subsets of the data that are already ordered, and uses that knowledge to sort the remainder more efficiently."
Draw a diagram of how SOA requests should work,
Draw network and protocol stack,
ICMP,Internet Control Message Protocol used to perform many network 'housekeeping' tasks.
UDP,a connectionless protocol and represents a lightweight method of sending and receiving data.
TCP,Transmission Control Protocol a connection-oriented protocol (it has opens and closes and stuff) and provides secure data transfer (the protocol includes ACKs and stuff)
UDP vs. TCP,"UDP have to 'hand-carve' the opening, closing and ACK processes. TCP is incredibly efficient and its windowing mechanism especially provides very fast network performance adaptive feedback."
Sorting a array of N elements takes _________,O(Nlog(N)) time.
Finding an element in a sorted array takes _______,O(log(N)) time
>>,the arithmetic (or signed) right shift operator.
>>>,the logical (or unsigned) right shift operator.
<<,the left shift operator meets the needs of both logical and arithmetic shifts.
"Integers are stored, in memory, as a series of bits For example, the number 6 stored as a 32-bit int would be:",00000000 00000000 00000000 00000110
