notes,cards
"1. Quicksort can be done in-place, meaning it does not require additional memory beyond the input array. It achieves this by partitioning the array and recursively sorting the two resulting partitions.

2. Merge sort cannot be done in-place and requires O(n) additional space. However, there is an in-place version of merge sort that uses a modified merge operation to avoid the need for additional memory.

3. Merge sort is stable, meaning the relative order of equal elements is preserved after sorting.

4. Insertion sort is stable, meaning the relative order of equal elements is preserved after sorting","[Front: Can quicksort be done in-place? Back: Yes.],
[Front: Can merge sort be done in-place? Back: No. It requires O(n) space. There is an in-place version?],
[Front: Is merge sort stable? Back: Yes.],
[Front: Is insertion sort stable? Back: Yes.]"
"1. Can insertion sort be done in-place?
   - Yes.

2. Can selection sort be done in-place?
   - Yes.

3. Is selection sort stable?
   - No.

4. Is heap sort stable?
   - No.

5. Can heap sort be done in-place?
   - Yes.

6. Write merge sort in C (check answer carefully)
   - Code:
     ```
     void merge(int numbers[], int low, int mid, int high) {
         // temp array for holding sorted items
         int b[high - low - 1];
         int i = low;
         int j = mid + 1;
         int k = 0;

         // merge items from list in order
         while (i <= mid && j <= high) {
             if (numbers[i] <= numbers[j]) {
                 b[k++] = numbers[i++];
             } else {
                 b[k++] = numbers[j++];
             }
         }

         // copy the remaining items to tmp array
         while (i <= mid)
             b[k++] = numbers[i++];
         while (j <= high)
             b[k++] = numbers[j++];
         
         --k;

         while (k >= 0) {
             numbers[low + k] = b[k];
             --k;
         }
     }

     void merge_sort(int numbers[], int low, int high) {
         if (low < high) {
             int mid = (low + high) / 2;

             merge_sort(numbers, low, mid);
             merge_sort(numbers, mid + 1, high);
             merge(numbers, low, mid, high);
         }
     }
     ```

7. Write a MergeSort class in Python (check answer carefully)
   - Code:
     ```
     class MergeSort(object):
         def __init__(self, numbers):
             self.values = numbers
             self.count = len(numbers)

         def sort(self):
             self.merge_sort(0, self.count - 1)
             return self.values

         def merge_sort(self, low, high):
             if low < high:
                 mid = (low + high) // 2

                 self.merge_sort(low, mid)
                 self.merge_sort(mid + 1, high)
                 self.merge(low, mid, high)

         def merge(self, low, mid, high):
             b = []
             i = low
             j = mid + 1

             while i <= mid and j <= high:
                 if self.values[i] <= self.values[j]:
                     b.append(self.values[i])
                     i += 1
                 else:
                     b.append(self.values[j])
                     j += 1

             while i <= mid:
                 b.append(self.values[i])
                 i += 1

             while j <= high:
                 b.append(self.values[j])
                 j += 1

             for index, val in enumerate(b):
                 self.values[low + index] = val
     ```

8. Write quick sort in C with only one method and random pivot (check answer carefully)
   - Code:
     ```
     void quick_sort(int numbers[], int left, int right) {
         if (left == right)
             return;

         int i = left;
         int j = right;
         int temp = 0;

         int count = right - left;
         int pivot_mod = rand() % count;
         int pivot = numbers[left + pivot_mod];

         while (i <= j) {
             while (numbers[i] < pivot)
                 ++i;

             while (numbers[j] > pivot)
                 --j;

             if (i <= j) {
                 temp = numbers[i];
                 numbers[i] = numbers[j];
                 numbers[j] = temp;
                 ++i;
                 --j;
             }
         }

         if (left < j) {
             quick_sort(numbers, left, j);
         }

         if (right > i) {
             quick_sort(numbers, i, right);
         }
     }
     ```","[Front: Can insertion sort be done in-place? Back: Yes.],
[Front: Can selection sort be done in-place? Back: Yes.],
[Front: Is selection sort stable? Back: No.],
[Front: Is heap sort stable? Back: No.],
[Front: Can heap sort be done in-place? Back: Yes.],
[Front: Write merge sort in C (check answer carefully) Back: void merge(int numbers[], int low, int mid, int high) {   // temp array for holding sorted items   int b[high - low - 1];   int i = low;   int j = mid + 1;   int k = 0;    // merge items from list in order   while (i <= mid && j <= high) {     if (numbers[i] <= numbers[j]) {       b[k++] = numbers[i++];     } else {       b[k++] = numbers[j++];     }   }    // copy the remaining items to tmp array   while (i <= mid) b[k++] = numbers[i++];   while (j <= high) b[k++] = numbers[j++];    --k;   while (k >= 0) {     numbers[low + k] = b[k];     --k;   } }  void merge_sort(int numbers[], int low, int high) {   if (low < high) {     int mid = (low + high) / 2;      merge_sort(numbers, low, mid);     merge_sort(numbers, mid + 1, high);     merge(numbers, low, mid, high);   } }],
[Front: Write a MergeSort class in Python (check answer carefully) Back: class MergeSort(object):     def __init__(self, numbers):         self.values = numbers         self.count = len(numbers)      def sort(self):         self.merge_sort(0, self.count - 1)         return self.values      def merge_sort(self, low, high):         if low < high:             mid = (low + high) // 2              self.merge_sort(low, mid)             self.merge_sort(mid + 1, high)             self.merge(low, mid, high)      def merge(self, low, mid, high):         b = []         i = low         j = mid + 1          while i <= mid and j <= high:             if self.values[i] <= self.values[j]:                 b.append(self.values[i])                 i += 1             else:                 b.append(self.values[j])                 j += 1          while i <= mid:             b.append(self.values[i])             i += 1          while j <= high:             b.append(self.values[j])             j += 1          for index, val in enumerate(b):             self.values[low + index] = val],
[Front: Write quick sort in C with only one method and random pivot (check answer carefully) Back: void quick_sort(int numbers[], int left, int right) {    if (left == right)     return;    int i = left;   int j = right;   int temp = 0;    int count = right - left;   int pivot_mod = rand() % count;    int pivot = numbers[left + pivot_mod];    while (i <= j) {     while (numbers[i] < pivot) ++i;     while (numbers[j] > pivot) --j;      if (i <= j) {       temp = numbers[i];       numbers[i] = numbers[j];       numbers[j] = temp;       ++i;       --j;     }   }    if (left < j) {     quick_sort(numbers, left, j);   }    if (right > i) {     quick_sort(numbers, i, right);   } }]"
"1. Write a QuickSort class in Python (check answer carefully)
   - Code:
     ```
     import random

     class QuickSort(object):
         def __init__(self, numbers):
             self.values = numbers
             self.count = len(self.values)

         def sort(self):
             self.quick_sort(0, self.count - 1)
             return self.values

         def quick_sort(self, left, right):
             if left == right:
                 return

             i = left
             j = right

             pivot_index = random.randint(left, right)
             pivot = self.values[pivot_index]

             while i <= j:
                 while self.values[i] < pivot:
                     i += 1

                 while self.values[j] > pivot:
                     j -= 1

                 if i <= j:
                     if i < j:
                         temp = self.values[i]
                         self.values[i] = self.values[j]
                         self.values[j] = temp

                     i += 1
                     j -= 1

             if left < j:
                 self.quick_sort(left, j)

             if right > i:
                 self.quick_sort(i, right)
     ```

2. In what case would perfect hashing be practical?
   - When you don't need to support inserts or deletes. The data is static.

3. How does perfect hashing handle collisions?
   - It creates a second hash table in the buckets where there are multiple items (k), using a second hash function, and k^2 space. The hash table has two hashing levels. k^2 is chosen because the Markov inequality (birthday paradox) ensures we will not have collisions in bucket.

4. What is the optimal load factor for a hash table?
   - O(sqrt(n))

5. What is the expected load factor for a hash table?
   - n/m, where n = items, m = buckets. n/m is also called alpha.","[Front: Write a QuickSort class in Python (check answer carefully) Back: import random  class QuickSort(object):      def __init__(self, numbers):         self.values = numbers         self.count = len(self.values)      def sort(self):         self.quick_sort(0, self.count - 1)         return self.values      def quick_sort(self, left, right):         if left == right:             return          i = left         j = right          pivot_index = random.randint(left, right)          pivot = self.values[pivot_index]          while i <= j:             while self.values[i] < pivot:                 i += 1             while self.values[j] > pivot:                 j -= 1             if i <= j:                 if i < j:                     temp = self.values[i]                     self.values[i] = self.values[j]                     self.values[j] = temp                 i += 1                 j -= 1          if left < j:             self.quick_sort(left, j)         if right > i:             self.quick_sort(i, right)],
[Front: In what case would perfect hashing be practical? Back: When you don't need to support inserts or deletes. The data is static.],
[Front: How does perfect hashing handle collisions? Back: It creates a second hash table in the buckets where there are multiple items (k), using a second hash function, and k^2 space. The hash table has two hashing levels. k^2 is chosen because the Markov inequality (birthday paradox) ensures we will not have collisions in bucket.],
[Front: What is the optimal load factor for a hash table? Back: O(sqrt(n))],
[Front: What is the expected load factor for a hash table? Back: n/m,  where n = items, m = buckets) n/m is also called alpha.]"
"1. What is the technical running time for operations on a hash table?
   - O(1 + alpha), where alpha is the load factor (n/m). Table doubling operations are amortized.

2. What is the worst-case search time of perfect hashing?
   - O(1)

3. What is the worst-case space required for perfect hashing?
   - O(n","[Front: What is the technical running time for operations on a hash table? Back: O(1 + alpha), where alpha is the load factor (n/m). Table doubling operations are amortized.],
[Front: What is the worst-case search time of perfect hashing? Back: O(1)],
[Front: What is the worst-case space required for perfect hashing? Back: O(n)]"
"1. Best-case running time of binary search: The best-case running time of binary search is O(1). This occurs when we get lucky and find the element we are searching for right at the midpoint of the array.

2. Worst-case running time of binary search: The worst-case running time of binary search is O(log n). In the worst case, we may have to repeatedly divide the input in half until we find the desired element.

3. Downsides of using an adjacency matrix to represent a graph: There are two main downsides of using an adjacency matrix. First, finding all the outgoing edges from a vertex takes O(n) time even if there aren't very many edges. Second, the space cost is high for ""sparse graphs,"" those with much fewer than n^2 edges, as it requires O(n^2) space.

4. When using an adjacency list is expensive: Finding predecessors of a node u can be extremely expensive when using adjacency lists. It requires looking through every list of every node in time O(n + e), where e is the total number of edges. However, if finding predecessors is a frequently performed operation, we can store a second copy of the graph with the edges reversed to optimize this.

5. When adjacency lists are most useful: Adjacency lists are most useful when we mostly want to enumerate outgoing edges of each node. This is common in search tasks, where we want to find a path from one node to another or compute the distances between pairs of nodes. If other operations are important, we can optimize them by augmenting the adjacency list representation.

6. Space required for a graph using an adjacency list: The space required for a graph using an adjacency list is O(n + e), where n is the number of nodes and e is the number of edges.

7. Maximum unsigned number represented with 4 bits: The maximum unsigned number that can be represented with 4 bits is 15.

8. Maximum unsigned number represented with 8 bits: The maximum unsigned number that can be represented with 8 bits is 255.

9. Maximum unsigned number represented with 16 bits: The maximum unsigned number that can be represented with 16 bits is 65,535.

10. Maximum unsigned number represented with 6 bits: The maximum unsigned number that can be represented with 6 bits is 63.","[Front: What's the best-case running time of binary search? Back: O(1) - we get lucky and find the element right at the midpoint.],
[Front: What's the worst-case running time of binary search? Back: O(log n)],
[Front: What are the downsides of using an adjacency matrix to represent a graph? Back: Finding all the outgoing edges from a vertex takes O(n) time even if there aren't very many, and the O(n^2) space cost is high for ""sparse graphs,"" those with much fewer than n^2 edges.],
[Front: When is using an adjacency list expensive? Back: Finding predecessors of a node u is extremely expensive, requiring looking through every list of every node in time O(n + e), where e is the total number of edges, although if this is something we actually need to do often we can store a second copy of the graph with the edges reversed.],
[Front: When are adjacency lists most useful? Back: Adjacency lists are most useful when we mostly want to enumerate outgoing edges of each node. This is common in search tasks, where we want to find a path from one node to another or compute the distances between pairs of nodes. If other operations are important, we can optimize them by augmenting the adjacency list representation; for example, using sorted arrays for the adjacency lists reduces the cost of edge existence testing to O(log(d+ (u))), and adding a second copy of the graph with reversed edges lets us find all predecessors of u in O(d− (u)) time, where d− (u) is u's in-degree.],
[Front: What is the space required for a graph using an adjacency list? Back: O(n + e)],
[Front: What's the maximum unsigned number you can represent with 4 bits? Back: 15],
[Front: What's the maximum unsigned number you can represent with 8 bits? Back: 255],
[Front: What's the maximum unsigned number you can represent with 16 bits? Back: 65,535],
[Front: What's the maximum unsigned number you can represent with 6 bits? Back: 63]"
"1. Maximum unsigned number represented with 15 bits: The maximum unsigned number that can be represented with 15 bits is 32,767.","[Front: What's the maximum unsigned number you can represent with 15 bits? Back: 32,767]"
"1. Maximum signed number represented with 4 bits: The maximum signed number that can be represented with 4 bits is 7.

2. Maximum signed number represented with 16 bits: The maximum signed number that can be represented with 16 bits is 32,767.

3. Maximum signed number represented with 8 bits: The maximum signed number that can be represented with 8 bits is 127.

4. Maximum signed number represented with 9 bits: The maximum signed number that can be represented with 9 bits is 255.

5. Maximum unsigned number represented with 32 bits: The maximum unsigned number that can be represented with 32 bits is approximately 4.294 billion.

6. Maximum signed number represented with 32 bits: The maximum signed number that can be represented with 32 bits is approximately 2.147 billion.

7. How to get the logarithm of a number n given a base b: To get the logarithm of a number n given a base b, keep dividing n by b until you get to a number less than or equal to 1","[Front: What's the maximum signed number you can represent with 4 bits? Back: 7],
[Front: What's the maximum signed number you can represent with 16 bits? Back: 32,767],
[Front: What's the maximum signed number you can represent with 8 bits? Back: 127],
[Front: What's the maximum signed number you can represent with 9 bits? Back: 255],
[Front: What's the maximum unsigned number you can represent with 32 bits? Back: 4.294 Billion],
[Front: What's the maximum signed number you can represent with 32 bits? Back: 2.147 Billion],
[Front: How do you get the logarithm of a number n given a base b? Back: Keep dividing n by b until you get to a number <= 1.]"
"- How can you write log(base b)(ac)?
    - log(base b)a + log(base b)c
- How can you write log(base b)(a/c)?
    - log(base b)a - log(base b)c
- How else can you write log(base b)(a^c)?
    - c * log(base b)a
- How you can express log(base b)a as another base?
    - log(base d)a / log(base d)b
- Why is log(base2)(2^n) == n?
    - log(base2)(2^n) = n * log(base 2)2 = n * 1 = n
- What is the arithmetic series: 1 + 2 + 3 + 4 + ... (n - 1) + n?
    - (n(n+1)) / 2","[Front: How can you write log(base b)(ac)? Back: log(base b)a + log(base b)c],
[Front: How can you write log(base b)(a/c)? Back: log(base b)a - log(base b)c],
[Front: How else can you write log(base b)(a^c)? Back: c * log(base b)a],
[Front: How you can express log(base b)a as another base? Back: log(base d)a / log(base d)b],
[Front: Why is log(base2)(2^n) == n? Back: log(base2)(2^n) = n * log(base 2)2 = n * 1 = n],
[Front: What is the arithmetic series: 1 + 2 + 3 + 4 + ... (n - 1) + n? Back: (n(n+1)) / 2]"
"- What is the value of the geometric (exponential) series when x != 1: 1 + x + x^2 + x^3 + ... x^n?
    - (x^(n + 1) - 1) / (x - 1)
- What is the sum of this series when it's infinite and x < 1? 1 + x + x^2 + x^3 + ... x^n?
    - 1 / (1 - x)
- What is the sum of the harmonic series for the nth harmonic number: 1 + 1/2 + 1/3 + 1/4 .. + 1/n?
    - No closed form, only good approximations: ≈ 0.57721 the Euler-Mascheroni constant.
- What is the maximum unsigned integer you can represent with n bits?
    - 2^n - 1
- Given a fully balanced binary tree with x nodes, what is the height of the tree in nodes?
    - log(base2) x + 1
- Given a fully balanced k-ary tree with x nodes, what is the height of the tree in nodes?
    - log(basek) x + 1
- A binary tree with height h can contain at most how many nodes?
    - 2^(h+1) − 1 nodes
- For a k-ary tree with height h, the upper bound for the maximum number of leaves is:
    - k^h","[Front: What is the value of the geometric (exponential) series when x != 1: 1 + x + x^2 + x^3 + ... x^n ? Back: (x^(n + 1) - 1) / (x - 1)],
[Front: What is the sum of this series when it's infinite and x < 1? 1 + x + x^2 + x^3 + ... x^n ? Back: 1 / (1 - x)],
[Front: What is the sum of the harmonic series for the nth harmonic number: 1 + 1/2 + 1/3 + 1/4 .. + 1/n Back: No closed form, only good approximations:  ≈ 0.57721 the Euler-Mascheroni constant.],
[Front: What is the maximum unsigned integer you can represent with n bits? Back: 2^n - 1],
[Front: Given a fully balanced binary tree with x nodes, what is the height of the tree in nodes? Back: log(base2) x + 1],
[Front: Given a fully balanced k-ary tree with x nodes, what is the height of the tree in nodes? Back: log(basek) x + 1],
[Front: A binary tree with height h can contain at most how many nodes? Back: 2^(h+1) − 1 nodes],
[Front: For a k-ary tree with height h, the upper bound for the maximum number of leaves is: Back: k^h]"
"- What is the complexity of Dijkstra's shortest-path algorithm?
    - O(e log v), where e is the number of edges. It must scan each edge, and gets and updates values on the heap.
- What is a drawback of using an adjacency matrix for an undirected graph?
    - Half of the entries in the matrix are duplicates","[Front: What is the complexity of Dijkstra's shortest-path algorithm? Back: O(e log v), where e is the number of edges.  It must scan each edge, and gets and updates values on the heap.],
[Front: What is a drawback of using an adjacency matrix for an undirected graph? Back: Half of the entries in the matrix are duplicates.]"
"1. What is the memory needed to store an adjacency list?
   - Answer: Theta( |V| + |E| )
   - Explanation: Storing an adjacency list requires memory proportional to the number of vertices and edges in the graph. The adjacency list consists of an array of |V| elements, each containing a list of neighbors for the corresponding vertex. The total memory required is proportional to the sum of the number of vertices and edges.

2. What is the memory needed to store an adjacency matrix?
   - Answer: Theta(|V|^2)
   - Explanation: Storing an adjacency matrix requires memory proportional to the square of the number of vertices in the graph. The adjacency matrix is a 2D array of |V| x |V| elements, where each element represents the presence or absence of an edge between two vertices.

3. How would you implement a queue with a linked list?
   - Answer: Use a tail pointer. Push new items at the tail, pop items at the head. Both operations are constant-time.
   - Explanation: To implement a queue with a linked list, we can use a tail pointer to keep track of the last element in the queue. New items are pushed at the tail by creating a new node and updating the tail pointer. Items are popped from the head by removing the first node and updating the head pointer. Both push and pop operations can be done in constant time.

4. How would you implement a stack with a linked list?
   - Answer: Push and pop items at the head. Both operations are constant-time.
   - Explanation: To implement a stack with a linked list, we can push items at the head of the linked list and pop items from the head as well. Push operation involves creating a new node and updating the head pointer. Pop operation involves removing the first node and updating the head pointer. Both push and pop operations can be done in constant time.

5. What preference of nodes vs leaves does preorder traversal give on a tree?
   - Answer: Nodes first, leaves later.
   - Explanation: Preorder traversal visits the nodes of a tree before visiting its leaves. It starts at the root and then recursively visits the left subtree in preorder traversal, followed by the right subtree in preorder traversal.

6. What preference of nodes vs leaves does postorder traversal give on a tree?
   - Answer: Leaves first, internal nodes later.
   - Explanation: Postorder traversal visits the leaves of a tree before visiting its internal nodes. It starts at the leftmost leaf and then recursively visits the leaves in postorder traversal, followed by visiting the internal nodes.

7. What could you use in DFS to turn a recursive algorithm into an iterative one?
   - Answer: A stack.
   - Explanation: Depth-First Search (DFS) can be implemented using a stack to keep track of the nodes to visit. Instead of using recursion, an explicit stack can be used to simulate the recursive calls and the order of node visits.

8. What do you use to keep track of nodes to visit in BFS?
   - Answer: A queue.
   - Explanation: Breadth-First Search (BFS) uses a queue to keep track of the nodes to visit. The nodes are added to the queue in the order they are discovered, and they are processed in the order of their discovery.","[Front: What is the memory needed to store an adjacency list? Back: Theta( |V| + |E| )],
[Front: What is the memory needed to store an adjacency matrix? Back: Theta(|V|^2)],
[Front: How would you implement a queue with a linked list? Back: Use a tail pointer. Push new items at the tail, pop items at the head. Both operations are constant-time.],
[Front: How would you implement a stack with a linked list? Back: Push and pop items at the head. Both operations are constant-time.],
[Front: What preference of nodes vs leaves does preorder traversal give on a tree? Back: Nodes first, leaves later.],
[Front: What preference of nodes vs leaves does postorder traversal give on a tree? Back: Leaves first, internal nodes later.],
[Front: What could you use in DFS to turn a recursive algorithm into an interative one? Back: A stack.],
[Front: What do you use to keep track of nodes to visit in BFS? Back: A queue.]"
"1. Using a stack to keep track of unvisited nodes gives what kind of traversal?
   - Answer: DFS
   - Explanation: Using a stack to keep track of unvisited nodes during a graph traversal results in Depth-First Search (DFS). This is because the stack follows the principle of ""last-in, first-out"" and explores the neighbors of the most recently visited node in a recursive manner.

2. Using a queue to keep track of unvisited nodes gives what kind of traversal?
   - Answer: BFS
   - Explanation: Using a queue to keep track of unvisited nodes during a graph traversal results in Breadth-First Search (BFS). This is because the queue follows the principle of ""first-in, first-out"" and explores the neighbors of the least recently visited node in a level-by-level manner.

3. In a highly connected graph of n vertices, how many cycles can there be?
   - Answer: (n - 1)! - enumerating is possible (using backtracking), but there will be a lot.
   - Explanation: In a highly connected graph with n vertices, there can be a maximum of (n - 1)! cycles. Enumerating all cycles in such a graph can be done using techniques like backtracking, but the number of cycles can be extremely large. Therefore, it is important to consider the computational complexity when dealing with highly connected graphs.","[Front: Using a stack to keep track of unvisited nodes gives what kind of traversal? Back: DFS],
[Front: Using a queue to keep track of unvisited nodes gives what kind of traversal? Back: BFS],
[Front: In a highly connected graph of n vertices, how many cycles can there be? Back: (n - 1)! - enumerating is possible (using backtracking), but there will be a lot.]"
"1. What can you use to find if a graph is bipartite?
   - Answer: BFS. Using only 2 colors. When you encounter a new vertex, if it has no color, give it the opposite color of its parent vertex. If it is already colored the same, the graph is not bipartite.
   - Explanation: To determine if a graph is bipartite, we can use Breadth-First Search (BFS) with 2 colors. We assign one color (e.g., red) to the starting vertex and its neighbors with the opposite color (e.g., blue). During the BFS traversal, if we encounter a new vertex without a color, we assign it the opposite color of its parent vertex. If we encounter a vertex that is already colored with the same color as its parent, then the graph is not bipartite.

2. How can you find a cycle in a graph?
   - Answer: DFS. If you discover an edge that connects to an ancestor (previously discovered vertex), you have a cycle.
   - Explanation: To find a cycle in a graph, we can use Depth-First Search (DFS). While traversing the graph, if we encounter an edge that connects to a previously discovered vertex (ancestor), then a cycle exists in the graph.

3. What is an articulation vertex?
   - Answer: A vertex of a graph whose deletion disconnects the graph.
   - Explanation: An articulation vertex, also known as a cut vertex, is a vertex in a graph whose removal would result in the disconnection of the graph into multiple connected components. Removing an articulation vertex increases the number of connected components in the graph.

4. How can you find an articulation vertex?
   - Answer: DFS multiple times. Remove each edge one at a time, doing a DFS after each, to see if you end up with > 1 connected components. If you remove a node and then DFS and find you have fewer than m - 1 edges, you've deleted an articulation vertex. O(n(n+m)). A faster way, with a little more bookkeeping, can be done in O(n+m) time, if you do DFS and keep track of parents and make a note when you reach a back edge, which connects to an ancestor.
   - Explanation: To find an articulation vertex, we can perform multiple Depth-First Searches (DFS) on the graph. By removing each edge one at a time and performing a DFS after each removal, we can determine if the removal of a vertex creates more than one connected component. If removing a vertex results in fewer than m - 1 edges during the subsequent DFS, the removed vertex is an articulation vertex. This approach has a time complexity of O(n(n+m)). A faster way to find articulation vertices, with additional bookkeeping, can be done in O(n+m) time by keeping track of parents during DFS and identifying back edges that connect to an ancestor.

5. How could you identify errors in a DNA fragment assembly given many pairs of sequences, where item A must appear before B in the larger sequence?
   - Answer: Build a directed acyclic graph (DAG) representing all the left-right constraints. Any topological sort of the DAG is a consistent ordering. If there are cycles, there must be errors.
   - Explanation: To identify errors in DNA fragment assembly based on left-right constraints, we can construct a Directed Acyclic Graph (DAG) where each fragment sequence is represented as a vertex, and the constraints are represented as directed edges from A to B if A must appear before B. By performing a topological sort on the DAG, we can obtain a consistent ordering of the fragment sequences. If there are cycles in the DAG, it indicates that there are errors in the assembly, as the constraints cannot be satisfied without violating the ordering","[Front: What can use to find if a graph is bipartite? Back: BFS. Using only 2 colors. When you encounter a new vertex, if it has no color, give it the opposite color of its parent vertex. If it is already colored the same, the graph is not bipartite.],
[Front: How can you find a cycle in a graph? Back: DFS. If you discover an edge that connects to an ancestor (previously discovered vertex), you have a cycle.],
[Front: What is an articulation vertex? Back: A vertex of a graph whose deletion disconnects the graph.],
[Front: How can you find an articulation vertex? Back: DFS multiple times. Remove each edge one at a time, doing a DFS after each, so see if you end up with > 1 connected components. If you remove a node and then DFS and find you have fewer than m - 1 edges, you've deleted an articulation vertex. O(n(n+m))  A faster way, with a little more bookkeeping, can be done in O(n+m) time, if you do DFS and keep track of parents and make a note when you reach a back edge, which connects to an ancestor.],
[Front: How could you identify errors in a DNA fragment assembly given many pairs of sequences, where item A must appear before B in the larger sequence? Back: Build a DAG representing all the left-right constraints. Any topological sort of the DAG is a consistent ordering. If there are cycles, there must be errors.],
[Front: What path does BFS find in a graph? Back: The shortest path tree from start to all nodes (unweighted)],
[Front: What's the upper bound on the number of edges in a graph G(V, E)? Back: |V|^2]"
"1. In Python, initialize a list of lists called x with 100 elements.
To initialize a list of lists with 100 elements in Python, you can use the following code:
x = [[] for i in range(100)]

2. In Python, declare a named tuple called Edge, with attributes vertex and weight.
To declare a named tuple called Edge with attributes vertex and weight in Python, you can use the following code:
from collections import namedtuple
Edge = namedtuple('Edge', ['vertex', 'weight'])

3. What does the optimal substructure property tell us about shortest paths?
The optimal substructure property states that a subpath of a shortest path is also a shortest path.

4. C++: How would you initialize a vector of 25 integers to all zeroes?
To initialize a vector of 25 integers to all zeroes in C++, you can use the following code:
std::vector<int> mynums(25);

5. C++: How could you make a string called thing2 have the first 5 characters of thing1?
To make a string called thing2 have the first 5 characters of thing1 in C++, you can use the following code:
thing2.assign(thing1, 0, 5);

6. C++: We want to call the parent constructor in our MyClass constructor, with an argument int called foo. What does this look like in .h and .cc? The parent class is ParentClass.
In the .h file:
MyClass(const int foo);
  
In the .cc file:
MyClass::MyClass(const int foo) : ParentClass(foo) {
    // stuff
}

7. What is a Dunder method?
A Dunder (short for double underscores) method is a magic method in Python, such as __getitem__ and __len__. These methods are meant to provide specific functionality to objects and are invoked automatically by certain Python syntax or built-in functions.

8. What is the sum of numbers from 1 to 2^n?
The sum of numbers from 1 to 2^n can be calculated using the formula 2^(n+1) - 1. This is because the sum of a sequence of powers is roughly equal to the next value in the sequence.

9. How many ways can you rearrange a string of n unique characters?
There are n! (n factorial) ways to rearrange a string of n unique characters. This is known as permutations.

10. How many ways can you arrange k characters from n unique characters?
The number of ways to arrange k characters from n unique characters can be calculated using the formula n! / (n - k)! This is known as the permutation of n elements of size k.","[Front: In Python, initialize a list of lists called x with 100 elements. Back: x = [[] for i in range(100)]],
[Front: In Python, declare a named tuple called Edge, with attributes vertex and weight. Back: from collections import namedtuple  Edge = namedtuple('Edge', ['vertex', 'weight'])],
[Front: What is the optimal substructure property tell us about shortest paths? Back: That a subpath of a shortest path is also a shortest path.],
[Front: C++: How would you initialize a vector of 25 integers to all zeroes? Back: std::vector<int> mynums(25);],
[Front: C++: How could you make a string called thing2 have the first 5 characters of thing1? Back: thing2.assign(thing1, 0, 5);],
[Front: C++: We want to call parent constructor in our MyClass constructor, with an arg int called foo. What does this look like in .h and .cc? Parent is ParentClass. Back: .h: MyClass(const int foo);  .cc: MyClass::MyClass(const int foo) : ParentClass(foo) {     // stuff }],
[Front: What is a Dunder method? Back: A magic method in Python, such as __getitem__ and __len__.],
[Front: What is the sum of numbers from 1 to 2^n? Back: 2^(n+1) - 1 The sum of a sequence of powers is roughly equal to the next value in the sequence.],
[Front: How many ways can you rearrange a string of n unique characters? Back: n! Permutations.],
[Front: How many ways can you arrange k characters from n unique characters? Back: n! / (n - k)! Permutation of n elements of size k.]"
